address,pool_id,airdrop_amount,debt_total
osmo1s02ux6wssyh6h72sggrnq9tzksa7fuxrpuauwc,704,"471424464069327ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,737383uosmo","1283936366555226ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,2092785uosmo"
osmo1s9x2qzdg0yz9v0448tj2q8wxsw2m0u7hekmeft,712,"82ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,22053uosmo","88ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,24423uosmo"
osmo1spjh837742sypmhcnav2jtpghu5tgu6mxxjnpl,704,"771244555728340ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,1206350uosmo","5830073446222549ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,9502877uosmo"
osmo1sqm0rm2w52lg07g0v9kynt6zqqghlfvuddene9,1,"582487ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,4556362uosmo","936084ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,7886347uosmo"
osmo1sxuc7jt7zf36v8mxz2m4894yxmjwe8lzc25yvg,704,"643899053811928ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,1007162uosmo","1412878791830740ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,2302958uosmo"
osmo1t4p7mwr0g4afs2w6kzn3whyjzc8a89x9hhl7pf,712,"18773ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,5032715uosmo","153161ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,42487461uosmo"
osmo1tfze2sxuqwwz5fxj0quasx5curjwlwm9qe9yhj,678,"4255324ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,3744161uosmo","5335246ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,4771672uosmo"
osmo1tg70tuzekpd376dpqr68yx5a7r709w6x8jtxha,1,"178356ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1395139uosmo","60251122ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,507584649uosmo"
osmo1tj8ccxjs347hywph03swzyhq2mek6qde0gs5ht,704,"362147161073295ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,566456uosmo","966189340031979ibc/EA1D43981D5C9A1C4AAEA9C23BB1D4FA126BA9BC7020A25E0AE4AA841EA25DC5,1574865uosmo"
osmo1tmgt32leqlz2hvwjwzpj6dvgk3vtksyxx0tpxv,678,"333931ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,293818uosmo","2265112ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,2025844uosmo"
