address,pool_id,shares_inflated,shares_inflated_locked,tokens_stolen,tokens_owed
osmo19pwpdnhq277qf6u8shmyq39ypx22hyzeh3emu9,1,0,117760083294484,,
osmo19umgavrn0fj2e4yts3t6s9rp3jzlsptlpwmyqz,1,,,,"4ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,26uosmo"
osmo19usnw0rhlx46tlw2pmrra0haff984pdrk32jsv,1,0,938672778568,,
osmo19v9pkens9uaplrdh6kl7rp9j482uhv3rq4c0qe,1,0,101859865277780,,
osmo19y46szjrlerd2ccsqzz6jc795qs4m3u4wztf5y,1,0,6244313400506888571,,
osmo1a0na2hvjnz9h5up2eca5vfs9nph3cf4cpk0qcr,1,0,9076337737149322397,,
osmo1a4dsrnxz6r8f6xsz4ll8z4dtshapkzcqcnfgg6,1,0,58230379024226311799,,
osmo1a57pwt6shzlz3uqeyn8x2tlpsz7zvl89nsl87t,1,0,351947330577887,,
osmo1a8jtn84q3vy6uu7ngve2278gsetvht780grgka,1,0,206295663760150,,
osmo1adk4lg8sk02j4nkegkvnjnpz30ex9tyqd5n4ew,1,1530362978573328322994,,,
osmo1apmwl4yfghpd5vu2r0ysj2rme6uqnw68k0csr2,1,0,140036696884788,,
osmo1aval5kjrhvzz3gk0nkr7g7gn7ypxys97yx67ce,1,0,4965378475082407876,,
osmo1awp2t26zqpvzy3xn9lp6362jvu7q42jheemmrc,1,0,657284689324572651360,,
osmo1axmpg8gs9ptxds5eweyhhhm33gudd5v290fsf8,1,0,75006114196395790,,
osmo1azeezpnwsde5yy6pacjrc6hjydlpta3f5z8rz5,1,0,9763232455421006492152,,
osmo1c4awx8t00jkayepzkpn5akpwllgpkj4evhvyc6,1,0,74098019737859102522,,
osmo1c4lywjywwp8u42k9glqcw5g8v3jyk8dvn8d44c,1,0,5197201072390256438,,
osmo1c5txl47ea73x9g535lefzs8u6engjrss4tr60p,1,19219844466645803229,,,"1269ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,9850uosmo"
osmo1c5vmr5jj6dp4w40dq4w6h843e4h97sqkghy985,1,0,15788209642112617527,,
osmo1c6j9dr6ccxsqslc9xky60l7j0kv7z6me2es7ll,1,0,58301202425310,,
osmo1cc56ryg7v58hvw0etrhhl9ufmksg5jl9t60mjc,1,,,,"7ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,53uosmo"
osmo1cejrk8fngaqv6c8vxvn785869c9pu5s6qnhnxg,1,0,2964792782423475884,,
osmo1cf3hauytpsgrl7m48mh9qe9mdfmz6mcup0na9k,1,0,3914749429301889,,
osmo1cfts4zw4w8mcuu3z8qwlmqkt5jhwpu7tynv3tz,1,0,2276623412829986230282,,
osmo1cnaq6p6rlec5v8shxkspmdxxlzx8hnlul63ky5,1,0,337396758803599,,
osmo1cssfqd0ny2h633ux8rcapux6wtm92rnty8zyta,1,0,3335311196293627323,,
osmo1cu674e4ezhs4drg6sxn3d32mv7h3r2ns9v9mvj,1,0,18444413364586623905,,
osmo1cv3jzxs26mu09vgmjhvpnschgzwa90w8agtflw,1,318310095932998,,,
osmo1cvz2pv0sl3nhpazn2kdux03pkq7js8sn7pwjf8,1,36835847314284270355,,,
osmo1cw73elmtjvzg4gjdy9yv7hu6nnfl8m7z4ah5wl,1,3205454278908452140,,,"3ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,28uosmo"
osmo1cwj3vqxk6p7e6ntxt8925m3l9d6l0jr554d3e7,1,,,,"1099ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,8658uosmo"
osmo1cwux6ehfyg98zj7x3vgr7gz33l2kye3n42su5t,1,0,,,
osmo1d00m4h4q8pfvd9rdp5w34ndwt8flfgzzlemx0m,1,,,,"508ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,3968uosmo"
osmo1d4exjfqcfntgxajxklgtvyhekysn7974gn6ku9,1,0,5874119454355774276,,
osmo1d52w5wle9670pe52vnavlva0ntvx2y7eplcvzu,1,0,35600299692819,,
osmo1d6z386l0prh50lh6ju9harvx6hzq400h3jzztf,1,32978489530161777870,,,
osmo1d8jyjm6j89na0q8xkpd84tqtp7a7jfyv6ape3l,1,0,139823254603564817,,
osmo1daucarjv5n9cnxzzvulw2xn5pgzrj7xwyhxk6w,1,0,2740046197885813272,,
osmo1dce5fs9u963dxlpguk78a3c03etsvrd32ttsd5,1,0,,,
osmo1dffxgxg79rfqh54lfz7xpx93qjdt38wksq9dgs,1,0,2947237632562348686,,
osmo1dm7xjrlmlzj6cv4gey2dax2jf6hatex8k385xq,1,0,348103428777154,,
osmo1dmkgxmm6290z59w657uasr2pmecmwzn32tv8gu,1,,,,2uosmo
osmo1dpsue447gd8jgmxaajjvy4uqwxyvlm4yufzvje,1,0,38125787110209853,,
osmo1dt8ge3nym6qw06na43k08trk4ft6yvhxc9e29r,1,0,1174451224254023,,
osmo1dtus3u4sfcxca3llla8hpuvg0t6e8rhzfa43ah,1,0,3251697270323492052,,
osmo1dtz670d8lvs5weu3cwd9wg28rxkmuqzrjyv5u3,1,0,1810206891897762,,
osmo1duvdndvc9gm37r8j3632apy4xjg5jp3y3z3zpm,1,4562371636953,,,
osmo1dvslrm9zzkdn6cgn4dyve0vfgent2v5ujn3sd9,1,0,5922744929781,,
osmo1dw6m6txg97twtcyw45x2nutczdtpaqg3ge334z,1,,,,"68ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,535uosmo"
osmo1dys4wzuvqw578x7wyzj3wmk2xxz533dz4sxq0t,1,0,5541335067182664,,
osmo1e3xp7ax42jl3nnsdu2455q9xy9kpzf700cjwzp,1,0,1406300303232737,,
osmo1e5nzz3cmma42hxus5p5clurngfv69zg4sa34a8,1,0,35720821422480220754,,
osmo1e60g9rekrcl9x4ghsz208m46zlfc9kl74g586d,1,0,1878201209800173,,
osmo1e9k6h3rmr8e04jcwra4279z698w02pexu03qxs,1,1666981193572244,,,
osmo1ea6yv55jzerkeqqz9c36t6wyklh8qpqs0da0n6,1,0,,"126046ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1063778uosmo",
osmo1ed0hmq97ew4a40gpa4nprnmh5kd7vsss2r9rwv,1,,,,"4561ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,36093uosmo"
osmo1ee44ghqw58sy80ugrq2kkwy8j38urpq485ueu8,1,0,605904293906369,,
osmo1eklq74xn54rsjc3rs5eynz3gfsrmmcrjpwyear,1,0,51288054589260,,
osmo1em4cgc7zycemw0st7k9z2wtxk4k8aq0fl9w7dh,1,0,74117429602038241410,,
osmo1ew4ezkyx96zwey29s37qpzsv9pg3fjnmr82xd6,1,,,,"148666ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,1197088uosmo"
osmo1ey67pvamgg0hfv7q72zkfcf9nrw927f5akhp8y,1,0,36690029660417556659,,
osmo1f0jd8ghg7v4xj438dtxuzgk7fv7hf6uey9k0ky,1,0,37166357923686,,
osmo1f0ve4ywdf6jurmkr5zhy47pggrznjmea4vp38z,1,0,9221702183749870209,,
osmo1f0xxhe8grgurvsdzshuh5kcxdktvrpkemtl6mj,1,0,4413802250993593623,,
osmo1f4t5qmrjtsdvc7wphedlqc76gyfhj0aslrkuk5,1,0,42369275615418583955,,
osmo1f8xye7qclcwtd9wwp2l2gey79qckacxnvm37mp,1,0,485391472885998263794,,
osmo1f9ujvs86xhvhntklu8hz3glz6322ak6hpy4cgv,1,0,33797112384019,,
osmo1f9z2cruax0n5dy0typt3sy7aj6cm0tcsqfdkp8,1,0,3949200864434232,,
osmo1fac2uc5eeptn486nnu72ue2seaygmk9j97fkrk,1,0,143768259776927,,
osmo1feh8mze5yn0760kka9pf4halxm0wx0lcw9073r,1,0,94293535725827301661,,
osmo1ferfl4vl894w54yrpa5kcr8xeg3z2ye5yd7p7z,1,0,10948360906912,,
osmo1fggxxx5d0sweulpvzkrxcdngemqe2eydmrtnlg,1,0,90607000790123618268,,
osmo1fhe0rmrdzpnw78s5uej9znvjkskcs3m3k9m8xy,1,0,277062889976123792743,,
osmo1fhezjhpz3qxzmumvmsfw98favl8920waxk0mtg,1,0,1477286452110522714,,
osmo1fncj2sy5z949ge7p5c6cxu4v6zl2m8aty02zkf,1,576774989036614929964,,,
osmo1fp7lar7valvpajdxealzhaf5julcpvrldjrvhv,1,0,398949016474390,,
osmo1fvtc7hadldx3y7fymq6v7xutws3yy6p3nfnknd,1,0,6900530961053468101,,
osmo1g00rzta7g52q94jjau5nz05vw708j0t6nvdht7,1,0,12581689526180823406,,
osmo1g40gzgswcl7shzm8nr8k283ue07x9ut43xlnhy,1,,,,"813320ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,6522709uosmo"
osmo1g5vqxwp5ft036pjn73mlj59vqwj0a0juu5fdj8,1,0,1129627275880159431,,
osmo1gavgqnl2crzurvadzjtmlaeyh50sehj2tq2srw,1,0,719074891769837058,,
osmo1geth7fyn2qchnr5vfsk4s88a2qhw7yvdzjdand,1,,,,"65ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,510uosmo"
osmo1gf5rf3p4k0q25fvl70xvaalwwularl4y9ddu8m,1,0,74187989703355,,
osmo1gn3xr3ph2a23wv96kq5tjqxuj85u6kpkup5c0p,1,2527155603161,,,
osmo1gqylk9jknp043qd79thldxalz6vhnr4txtn7u4,1,,,,"2ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,19uosmo"
osmo1grlzew508av793wwec4gnzvel5l7we3tnt0gw3,1,,,,"902ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,7114uosmo"
osmo1guvtl2svetjkwwgwldm8gsqk4h40dw5c2t984a,1,0,451900670191517163558,,
osmo1gv4zp8vsjmj2d84t6knnmx2j6tuxskryhys4y2,1,0,1060334744579921175,,
osmo1h3mhd5sj207qjvyegmk6pt5jsqkaz4ch6thd8p,1,0,1327244391241267,,
osmo1h5dwmh69rcmhjxclzjtccjsxdprazsaa9z8q0k,1,0,32935775573435835264,,
osmo1h6f2hlr58xjp9uxn7mev398nzkxqx6f608qu3n,1,0,119895485066852,,
osmo1hcw0shmdzmhxwe7sqj0rg4mh2clfwwk03m49e6,1,0,4243408686537212,,
osmo1hcx46h6pfu5paet9r7w5w9m54gmqqyykq4rjnf,1,0,14624142100740,,
osmo1hmqf5d6z53akxurv4r2e5cu0f0mfzefs03lat7,1,0,33218776318466979359,,
osmo1hqpfexlhtdeluxrgcqhhwggzc99dv04wtgu4tq,1,0,10525286623328416299,,
osmo1hsvzjyfp833xqd52z656za09h63mt8337q5l3a,1,0,205055257715670589785,,
osmo1ht4unfaey5wfe7x4sdkd68e07heel6fv206q9u,1,0,695241789905882,,
osmo1hvtvy09xkz8as33w9u5wnuyned6ypwvt4s683h,1,0,353262445677347646940,,
osmo1j07lm6qjtsrptf290zqh9k2tes44uhdy44qtec,1,0,4731701766953637854,,
osmo1jc5n4ckavk0f8zevxvjmwhe7sdq68w47fr2305,1,0,36573703879819979845,,
osmo1jdh7eeyaar0tyask0r6w2228uh5wrd0pxtcfwr,1,0,,"24416738ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,201423711uosmo",
osmo1jeesfvtyh35ljartj75v633srxnkql7guq0csy,1,,,,"38ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,300uosmo"
osmo1jqm04jm7mm7nmdacnraf353dqgcrf3qew2zsfa,1,0,6544549591292,,
osmo1jqppzkqwnvrqmsskm0f2nrawdsqmhkhp3wd23d,1,0,620904282641063937,,
osmo1jtcdzzp0ezsfvmw7m4zv9xsq3p67hx7cw7zkv2,1,0,3272510275686709,,
