block,code,msg_type,sender,pool_id,share_out,denom_1,amount_1,denom_2,amount_2
4708217,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo107x66k8lzvplpf70qshrrzt8fely84ch257hva,719,8004580333983422989,ibc/A0CC0CF735BFB30E730C70019D4218A1244FF383503FF7579C9201AB93CA9293,274430,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,157935
4708218,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1k5ehhteq3wgpka630lt6qwp90nhrpfly3d9ry8,712,849284119328315302,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,15623,uosmo,4166694
4708219,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1dvwyzspj43vrdffqm0rmj9fa0aqnalqpad5sva,606,23164754754388264999556,ibc/27394FB092D2ECCD56123C74F36E4C1F926001CEADA9CA97EA622B25F41E5EB2,689975,ibc/B9E0A1A524E98BB407D3CED8720EFEFD186002F90C1B1B7964811DD0CCC12228,131480000000
4708220,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1j56qnku4p2m63q3ra7js6s8x4x7cuvf5v98uk6,674,2089880637350571522,ibc/0CD3A0285E1341859B5E86B6AB7682F023D03E97607CCC1DC95706411D866DF7,4390436919870924914,uosmo,3892215
4708222,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo127xw3zd8uspq0nq0n6vfapk53tgkaxn8q293w8,641,714270769934562443,ibc/67795E528DF67C5606FC20F824EA39A6EF55BA133F4DC79C90A8C47A0901E17C,283057,uosmo,7533
4708222,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1lk870e3usuz7pcwl02szqqd0rzjyf285m6n054,678,76082626731968224023,ibc/D189335C6E4A68B513C10AB227BF1C1D38C746766278BA3EEB4FB14124F1D858,257003233,uosmo,227553751
4708222,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo107x66k8lzvplpf70qshrrzt8fely84ch257hva,722,2486406260130670370,ibc/6AE98883D4D5D5FF9E50D7130F1305DA2FFA0C652D1DD9C123657C6B4EB2DF8A,173134447762671063,uosmo,332795
4708222,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo18w70c6a8w7f8q3vlv0uktgkxnsr5rxrxfv7jja,497,555189142168619297,ibc/46B44899322F3CD854D2D46DEEF881958467CDD4B3B10086DA49296BBED94BED,353556,uosmo,1120815
4708223,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo1cjlgj7alwmcwclvnsg8m9lym6jz6pcgulas0xu,712,146576958970456239,ibc/D1542AA8762DB13087D8364F3EA6509FD6F009A34F00426AF9E4F9FA85CBBF1F,2697,uosmo,719149
4708226,0,/osmosis.gamm.v1beta1.MsgJoinPool,osmo15dnssahywuu9ygl0l3q2az9jmhx00pg9kuw3er,619,91354245179584345,ibc/EA4C0A9F72E2CEDF10D0E7A9A6A22954DB3444910DB5BE980DF59B05A46DAD1C,1074816,uosmo,19576
